CNPJ;Razão Social;Nome Fantasia;Natureza Jurídica;Capital Social;Data de Abertura;Idade da Empresa;Cidade;Estado;CEP;Porte;Atividade Principal;Flag_CNEP;Flag_CEIS
89510490001-31;CORESMA - COMERCIO DE EQUIPAMENTOS E SUPRIMENTOS LTDA;Coresma;Sociedade Empresária Limitada;1000000;02/07/2007;180;São Luís;MA;650520450;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
90248960001-13;INB TECNOLOGIA LTDA;Inb Tecnologia;Sociedade Empresária Limitada;5000000;25/07/2007;180;Brasília;DF;700707010;Demais;Consultoria em tecnologia da informação;0;0
90938130001-48;TITANIA COMERCIO E SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA;Titania Telecom;Sociedade Empresária Limitada;20000000;26/09/2007;180;Cuiabá;MT;780053400;Demais;Serviços de comunicação multimídia - SCM;0;0
91377280001-34;NTSEC SOLUCOES EM TELEINFORMATICA LTDA;Ntsec - Network Security;Sociedade Empresária Limitada;6500000;18/10/2007;180;Brasília;DF;707159000;Demais;Consultoria em tecnologia da informação;0;0
91628550005-17;PTLS SERVICOS DE TECNOLOGIA E ASSESSORIA TECNICA LTDA;Logicalis;Sociedade Empresária Limitada;805459853;21/03/2011;140;Barueri;SP;64600000;Demais;Consultoria em tecnologia da informação;0;0
92987940001-96;POWER TEC TECNOLOGIA EM INFORMATICA LTDA;Power Tec Informatica;Sociedade Empresária Limitada;3000000;20/07/2007;180;Serra;ES;291821950;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
95543280001-24;MTS & SH TECNOLOGIA EM IMPRESSAO E COPIA LTDA;Pro-copia;Sociedade Empresária Limitada;500000;16/05/2008;170;Florianópolis;SC;880901500;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
101900170001-02;EDMUR RODRIGUES SILVEIRA;Edmur Rodrigues Silveira;Empresário (Individual);150000;27/06/2008;170;Santo André;SP;92207900;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
102583230001-33;UNIC SOLUTIONS - COMERCIO, IMPORTACAO E SERVICOS DE INFORMATICA LTDA;Unic Solutions;Sociedade Empresária Limitada;200000;07/08/2008;170;Brasília;DF;712507300;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
105254080001-30;EZLY TECNOLOGIA LTDA;;Sociedade Empresária Limitada;3090000;17/11/2008;170;São Paulo;SP;47091110;Demais;Desenvolvimento e licenciamento de programas de computador customizáveis;0;0
